epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,50.4932,1.08799,6.19491,1.63658,0.4561,0.39469,0.36092,0.29917,0.79128,3.49115,1.34334,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156
2,86.8432,0.88462,3.27956,1.42794,0.84389,0.48679,0.59985,0.4962,0.71003,1.68889,1.17987,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236
3,122.268,0.84669,2.07708,1.35394,0.78982,0.55365,0.63112,0.51271,0.79098,1.38252,1.18994,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503
4,157.415,0.88077,1.64997,1.3517,0.72033,0.6067,0.65824,0.53305,0.79267,1.3837,1.19087,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071
5,192.644,0.8575,1.44748,1.32925,0.70466,0.52016,0.60951,0.48549,0.84295,1.37384,1.22243,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127
6,227.583,0.8643,1.29843,1.33139,0.78271,0.55757,0.67825,0.53868,0.783,1.31191,1.19482,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184
7,262.937,0.83908,1.21912,1.3177,0.72475,0.64325,0.67014,0.53089,0.77477,1.41821,1.1927,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
8,298.707,0.83819,1.1861,1.30521,0.75389,0.59757,0.69195,0.53942,0.8505,1.25504,1.19677,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298
9,334.076,0.81217,1.0757,1.28083,0.73054,0.58939,0.64862,0.51151,0.81736,1.38327,1.2005,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355
10,369.259,0.80393,1.05377,1.28025,0.66258,0.62666,0.66944,0.52564,0.83909,1.32189,1.22895,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
11,404.507,0.80194,0.99014,1.26859,0.65312,0.60056,0.64972,0.51779,0.83449,1.32494,1.20544,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469
12,439.919,0.77328,0.92622,1.24698,0.78127,0.59586,0.69602,0.56339,0.79357,1.32903,1.17182,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525
13,475.979,0.75565,0.96343,1.23024,0.74584,0.60528,0.6679,0.52852,0.85054,1.35074,1.23164,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
14,511.25,0.72766,0.89341,1.21342,0.75219,0.58935,0.67367,0.53298,0.84184,1.40907,1.27224,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639
15,546.647,0.77442,0.92366,1.24079,0.79266,0.552,0.6559,0.51718,0.83782,1.54264,1.28215,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696
16,581.911,0.7543,0.83192,1.23288,0.67853,0.58999,0.649,0.5084,0.88417,1.4295,1.28954,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
