epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6687,3.19008,6.95055,3.98388,4.21679,0.00488,0.7073,0.01692,0.0058,0.00427,0.60942,0.01397,0.00416,2.84174,4.47932,3.35884,4.07537,0.000471156,0.000471156,0.000471156
2,37.8718,3.16031,4.34141,3.94841,4.01903,0.34813,0.03505,0.02218,0.00596,0.34705,0.03505,0.00562,0.00133,2.97023,12.4959,7.526,5.63679,0.000941236,0.000941236,0.000941236
3,48.6489,2.96624,4.03361,3.82482,3.69976,0.05085,0.19292,0.03025,0.00569,0.04493,0.18547,0.02084,0.00395,3.21476,17.5917,15.9929,8.13014,0.00140503,0.00140503,0.00140503
4,59.0732,2.85414,3.84306,3.74835,3.42153,0.19906,0.20179,0.08331,0.0182,0.72576,0.04762,0.06461,0.01462,3.05049,4.43422,3.84834,3.83698,0.00140071,0.00140071,0.00140071
5,69.5181,2.75574,3.84256,3.63963,3.26751,0.49054,0.17063,0.10145,0.02399,0.48692,0.1634,0.08623,0.01981,2.84361,3.74725,3.34897,3.43738,0.00139127,0.00139127,0.00139127
6,80.0974,2.69064,3.71111,3.5997,3.15713,0.137,0.2183,0.09949,0.02843,0.11494,0.19507,0.08484,0.02151,2.7687,3.56177,3.11864,3.35517,0.00138184,0.00138184,0.00138184
7,90.5613,2.69707,3.73182,3.55756,3.13471,0.38498,0.26167,0.08659,0.02111,0.38051,0.24136,0.0865,0.01869,2.67792,3.59858,3.35505,3.23372,0.00137241,0.00137241,0.00137241
8,100.997,2.63354,3.75529,3.51129,3.08264,0.11408,0.2648,0.1268,0.04128,0.14526,0.24431,0.1158,0.03517,2.6339,3.59392,3.15721,3.23955,0.00136298,0.00136298,0.00136298
9,111.466,2.58225,3.7042,3.41356,3.00682,0.14734,0.22888,0.11935,0.0394,0.13685,0.21868,0.10862,0.03241,2.48695,3.55483,3.00542,3.0889,0.00135355,0.00135355,0.00135355
10,121.892,2.52755,3.63948,3.35022,2.94298,0.50325,0.22923,0.1707,0.08015,0.47447,0.19118,0.14573,0.05841,2.33508,3.57231,3.06546,2.99656,0.00134412,0.00134412,0.00134412
11,132.386,2.47718,3.61988,3.29599,2.91911,0.44213,0.29762,0.19072,0.07679,0.44197,0.27801,0.17218,0.05692,2.25341,3.63509,3.79858,2.8971,0.00133469,0.00133469,0.00133469
12,142.845,2.38202,3.56434,3.23326,2.83018,0.48544,0.24018,0.19224,0.0749,0.48021,0.21942,0.17028,0.06043,2.19174,3.40382,3.24671,2.83863,0.00132525,0.00132525,0.00132525
13,153.297,2.34169,3.57461,3.23297,2.79765,0.27721,0.34666,0.23387,0.10609,0.25731,0.30875,0.21433,0.08338,2.12515,3.51713,2.76865,2.76075,0.00131582,0.00131582,0.00131582
14,163.731,2.28771,3.52969,3.13396,2.71314,0.51121,0.27468,0.19723,0.08653,0.47414,0.2563,0.16114,0.06514,2.21283,3.49224,3.14899,2.78278,0.00130639,0.00130639,0.00130639
