epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.0424,1.23942,4.12897,3.03633,1.75945,0,0.77255,0.46128,0.52096,0.41531,0.7249,0.43027,0.47731,0.31226,0.83504,2.77376,1.83506,1.29483,0,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156
2,122.038,0.91947,2.48633,1.88581,1.44858,0,0.82898,0.51935,0.64632,0.51516,0.83273,0.5229,0.63573,0.44906,0.72562,2.28003,1.46868,1.16315,0,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236
3,178.574,0.85075,2.13546,1.5156,1.36137,0,0.68745,0.62756,0.64559,0.50782,0.67187,0.61499,0.62886,0.44058,0.77993,2.20921,1.33884,1.16406,0,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503
4,233.79,0.85645,2.08218,1.393,1.35635,0,0.76139,0.57509,0.65589,0.5189,0.75719,0.57197,0.6496,0.46666,0.7838,2.21755,1.31405,1.16872,0,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071
5,289.612,0.84985,1.92678,1.27619,1.34174,0,0.78832,0.56983,0.65985,0.51894,0.73143,0.59004,0.64314,0.46813,0.76881,2.1971,1.24192,1.20214,0,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127
6,345.198,0.82785,1.84589,1.19737,1.31898,0,0.86791,0.584,0.68359,0.54337,0.87377,0.59772,0.69676,0.49168,0.79667,2.2279,1.22725,1.2046,0,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184
7,401.046,0.81751,1.75776,1.11693,1.30661,0,0.70239,0.62435,0.67699,0.5266,0.70382,0.62414,0.67394,0.47374,0.80253,2.26284,1.20585,1.20722,0,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
8,456.138,0.78699,1.7923,1.06434,1.28536,0,0.697,0.67844,0.7168,0.56061,0.79736,0.58778,0.70757,0.49502,0.82827,2.30957,1.11008,1.22479,0,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298
9,511.795,0.7966,1.73922,1.00967,1.28841,0,0.74753,0.62983,0.68593,0.52833,0.74647,0.60091,0.66797,0.47206,0.8115,2.35742,1.27432,1.21336,0,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355
10,566.957,0.76636,1.66927,0.97343,1.27852,0,0.83834,0.5971,0.70851,0.56612,0.82605,0.60077,0.70312,0.5104,0.80796,2.32723,1.12901,1.19996,0,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
11,622.465,0.74973,1.6442,0.8955,1.25102,0,0.75596,0.60189,0.69598,0.53751,0.76513,0.60052,0.68889,0.48532,0.84552,2.23941,1.15504,1.2306,0,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469
12,677.615,0.75031,1.56921,0.86132,1.25327,0,0.82039,0.57781,0.6946,0.54877,0.81588,0.57151,0.68639,0.50739,0.83253,2.29766,1.16261,1.23832,0,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525
13,733.066,0.73725,1.65261,0.86994,1.24278,0,0.78126,0.58891,0.68486,0.53908,0.77314,0.57882,0.68536,0.49224,0.84505,2.32969,1.18886,1.24487,0,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
14,788.163,0.69697,1.56108,0.82913,1.21675,0,0.70691,0.63333,0.67474,0.53132,0.70956,0.62235,0.66043,0.47603,0.81367,2.30891,1.19196,1.21835,0,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639
15,843.79,0.72619,1.58528,0.8504,1.23964,0,0.74596,0.64192,0.69842,0.54921,0.76127,0.6287,0.68483,0.49591,0.80081,2.35083,1.15507,1.23561,0,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696
16,898.816,0.72666,1.49459,0.78612,1.23977,0,0.8023,0.63113,0.71498,0.56846,0.81484,0.63271,0.69858,0.50641,0.88077,2.40217,1.17424,1.28971,0,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
17,954.038,0.72937,1.47902,0.78941,1.22367,0,0.74605,0.69618,0.71768,0.5627,0.72514,0.6775,0.69752,0.50905,0.82057,2.29655,1.16983,1.2161,0,0.00383429,0.0012781,0.00383429,0.0012781,0.00383429,0.0012781,0.00383429,0.0012781
18,1009.36,0.67541,1.4024,0.76721,1.17987,0,0.76227,0.62671,0.69334,0.53765,0.73235,0.60295,0.66382,0.47817,0.84713,2.44595,1.25599,1.28135,0,0.003806,0.00126867,0.003806,0.00126867,0.003806,0.00126867,0.003806,0.00126867
19,1064.3,0.6557,1.39287,0.69286,1.17992,0,0.69186,0.65348,0.69686,0.52861,0.67495,0.63142,0.67065,0.47587,0.89237,2.3571,1.29574,1.32263,0,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
20,1119.36,0.65854,1.41224,0.69505,1.18432,0,0.8344,0.59869,0.71297,0.56582,0.80734,0.58888,0.68366,0.50192,0.84239,2.45364,1.19679,1.29286,0,0.00374941,0.0012498,0.00374941,0.0012498,0.00374941,0.0012498,0.00374941,0.0012498
21,1174.6,0.64738,1.34493,0.69017,1.17816,0,0.69955,0.64262,0.68816,0.53204,0.69091,0.63587,0.6776,0.49287,0.83824,2.3303,1.21906,1.27873,0,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
22,1229.72,0.66473,1.36061,0.70324,1.18093,0,0.81125,0.59468,0.69238,0.53658,0.79798,0.58896,0.67315,0.48081,0.85014,2.3622,1.2291,1.29245,0,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
23,1284.76,0.62187,1.27766,0.6402,1.1596,0,0.78182,0.61231,0.68425,0.5347,0.77483,0.60352,0.67702,0.48931,0.79834,2.25215,1.19403,1.25455,0,0.00366453,0.00122151,0.00366453,0.00122151,0.00366453,0.00122151,0.00366453,0.00122151
24,1339.9,0.65991,1.30197,0.6676,1.18393,0,0.79433,0.63624,0.70574,0.56866,0.7971,0.62928,0.69029,0.52542,0.81764,2.35686,1.22554,1.26918,0,0.00363623,0.00121208,0.00363623,0.00121208,0.00363623,0.00121208,0.00363623,0.00121208
25,1395.29,0.60514,1.2804,0.63044,1.14918,0,0.79017,0.60591,0.66137,0.53135,0.81815,0.59805,0.66057,0.4808,0.80983,2.56007,1.27322,1.24887,0,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
26,1450.32,0.61876,1.25627,0.63202,1.15279,0,0.73959,0.65539,0.67539,0.53859,0.73598,0.65315,0.67394,0.49463,0.88464,2.47531,1.21805,1.30163,0,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
27,1505.7,0.61935,1.25441,0.61766,1.14211,0,0.83919,0.58299,0.68859,0.53388,0.7741,0.62341,0.67578,0.49061,0.89953,2.50879,1.23033,1.33207,0,0.00355135,0.00118378,0.00355135,0.00118378,0.00355135,0.00118378,0.00355135,0.00118378
28,1561.05,0.6193,1.2661,0.62723,1.13492,0,0.79522,0.61055,0.69967,0.55384,0.78878,0.60898,0.69112,0.5066,0.81592,2.51712,1.18739,1.2855,0,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
29,1616.58,0.60132,1.23589,0.60255,1.13008,0,0.81402,0.63059,0.70498,0.55604,0.8047,0.62889,0.69254,0.5109,0.861,2.44572,1.15993,1.33381,0,0.00349476,0.00116492,0.00349476,0.00116492,0.00349476,0.00116492,0.00349476,0.00116492
30,1671.6,0.5939,1.22629,0.58691,1.12387,0,0.77784,0.66625,0.71937,0.57124,0.7937,0.63808,0.70772,0.5195,0.83125,2.32734,1.12316,1.27244,0,0.00346647,0.00115549,0.00346647,0.00115549,0.00346647,0.00115549,0.00346647,0.00115549
31,1726.89,0.59944,1.18319,0.59819,1.13614,0,0.80114,0.60478,0.71592,0.57227,0.72341,0.6687,0.71473,0.51655,0.81521,2.24392,1.13717,1.2565,0,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
32,1781.97,0.60039,1.18058,0.59629,1.1203,0,0.83606,0.61436,0.70984,0.56209,0.82296,0.60087,0.69134,0.50968,0.87766,2.48164,1.24014,1.32865,0,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663
33,1837.39,0.57798,1.21775,0.56799,1.10146,0,0.75586,0.66323,0.70396,0.54912,0.73438,0.6472,0.69626,0.49055,0.88902,2.61149,1.29225,1.33448,0,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272
34,1892.5,0.5867,1.21319,0.55483,1.11583,0,0.76337,0.6567,0.70127,0.55747,0.82038,0.61211,0.68918,0.51047,0.87224,2.5149,1.2391,1.31105,0,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
35,1947.71,0.55516,1.12115,0.545,1.08665,0,0.82988,0.60774,0.70967,0.5531,0.82029,0.59892,0.69514,0.50831,0.89453,2.52413,1.19473,1.33711,0,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833
36,2002.68,0.58165,1.15557,0.54447,1.12184,0,0.8531,0.6223,0.72204,0.56779,0.85497,0.62275,0.71096,0.50226,0.90118,2.603,1.18414,1.34241,0,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
37,2058.05,0.59201,1.20177,0.57092,1.12163,0,0.82188,0.64455,0.73097,0.58441,0.82065,0.64567,0.72727,0.52273,0.80597,2.50777,1.12409,1.24452,0,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
